Report Submission Source,Multiple Rows per Incident,Report Number,Carrier/Reporter Name,Incident Route,Incident City,Incident State,Date of Incident,Time of Incident,Quantity Released,Unit of Measure,Identification Number,Commodity Long Name,Hazardous Class,Total Hazmat Fatalities,Total Hazmat Hosp Injuries,Total Hazmat NonHosp Injuries,Total Amount of Damages,Shipper Name,Origin City,Origin State,Mode of Transportation,Identification Markings,Cont1 Material of Construction,Cont1 Packaging Type,Cont1 Package Capacity,Cont1 Package Capacity UOM,Cont1 Pkg Number in Shipment,Cont1 Pkg Shipment Nbr Failed,Cont2 Material of Construction,Cont2 Package Type,Cont2 Package Capacity,Cont2 Capacity UOM Reported,Cont2 Pkg Number in Shipment,Cont2 Pkg Shipment Nbr Failed,What Failed Description,How Failed Description,Failure Cause Description,Description of Events,HMIS Serious Incident Ind,HMIS Serious Bulk Release,HMIS Serious Evacuations,HMIS Serious Fatality,HMIS Serious Flight Plan,HMIS Serious Injury,HMIS Serious Major Artery,HMIS Serious Marine Pollutant,HMIS Serious Radioactive
Web,No,E-2015120387,R & L CARRIERS  INC.,1950 Capitol Ave NE,WASHINGTON,DC,11/24/2015,1225,1,LGA,UN1593,DICHLOROMETHANE,POISONOUS MATERIALS,0,0,0,4000,NEXEO SOLUTIONS  LLC,DORAVILLE,GEORGIA,Highway,,Steel,Drum,55,LGA,2,2,,,,,,,Body,Crushed,Inadequate Blocking and Bracing,Two 55-gallon steel drums of UN1593 Dichloromethane (Methylene Chloride Tech) being carried by R&L Carriers were found to be damaged during unloading at the customer location in Washington D.C.     The drums were apparently crushed during transit due to inadequate blocking & bracing for transport. The release was immediate. An environmental team cleaned the release and over packed both drums.,No,No,No,No,No,No,No,No,No
Paper,No,I-1999020474,GRIFFITH ENERGY SERVICES  INC.,708 MORTON ST NW,WASHINGTON,DC,02/02/1999,1115,8,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,158,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,3400,LGA,1,1,,,,,,,,,Overfilled,Driver allowed the tank to overfill. Spill was contained and spilled material was properly disposed of.,No,No,No,No,No,No,No,No,No
Paper,No,I-1980061215,YELLOW FREIGHT SYSTEM INC,,WASHINGTON,DC,05/23/1980,,0,,UN1760,CORROSIVE LIQUIDS  N.O.S.,CORROSIVE MATERIAL,0,0,0,0,CAPITOL AUTO PARTS,SACRAMENTO,CALIFORNIA,Highway,,,,8,LGA,40,15,,,8,LGA,40,15,,,Loose Closure  Component  or Device,,No,No,No,No,No,No,No,No,No
Paper,No,I-1984110349,STEUART PETROLEUM CO,,WASHINGTON,DC,10/31/1984,,16,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1989110217,GRIFFITH CONSUMERS CO,,WASHINGTON,DC,11/03/1989,,0.20,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,GRIFFITH CONSUMERS CO,CHEVERLY,MARYLAND,Highway,,,,2500,LGA,1,1,,,,,,,Chime,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-2004031197,GRIFFITH ENERGY SERVICES  INC.,1432 T ST SE,WASHINGTON,DC,02/17/2004,1100,14,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,764,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,2700,LGA,1,1,,,,,,,,,,WHILE MAKING DRIVER WENT TO WRONG ADDRESS AND DELIVERED OIL INTO ABANDONED TANK.  WE CONTACTED PROFESSIONAL REMEDIATION COMPANY AND OIL WAS PROPERLY CLEANED  CONTAINED AND DISPOSED OF.,No,No,No,No,No,No,No,No,No
Paper,No,I-1974010167,MC LEAN TRUCKING COMPANY*,,WASHINGTON,DC,12/12/1973,,0,,NA1760,COMPOUNDS  CLEANING LIQUID,CORROSIVE MATERIAL,0,0,0,0,NEW MALTER INC,GRETNA,LOUISIANA,Highway,,,,,,,,,,35,LGA,1,1,,Punctured,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1998071075,GRIFFITH ENERGY SERVICES  INC.,1520 HOLBROOK ST NE,WASHINGTON,DC,07/16/1998,1511,1,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,26,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,3000,LGA,1,1,,,,,,,,,,AN OUTAGE OCCURRED WHICH WAS CONTAINED  CLEANED UP AND PROPERLY DISPOSED OF.,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110192,STEUART FETROLEUM,,WASHINGTON,DC,01/10/1983,,1544,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No
Paper,No,I-1984010259,STEUART PETROLEUM CO,,WASHINGTON,DC,01/13/1984,,150,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,COLONIAL METROPOLITIAN FUELS,BETHESDA,MARYLAND,Highway,,,,,,1,1,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No
Paper,No,I-1997040546,FLEET TRANSIT  INC.,RHODE ISLAND AVE.,WASHINGTON,DC,04/03/1997,2320,200,LGA,UN1203,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,CITIES SERVICE OIL CO,FAIRFAX,VIRGINIA,Highway,,,,,,1,1,,,,,,,,,,DRIVER WAS GAUGING PREMIUM TANK WHILE REGULAR WAS UNLOADING AT DIRECT DROP vs. REMOTE.  TOTE OVERFILLED AND GASOLINE FLOWED OUT OF REMOTE FILL.  WE SUSPECT DRIVER MIS-READ HIS BEGINNING STICK READING.  INVENTORY WAS HIGHER THAN HE THOUGHT AND TANK WOULD NOT HOLD ALL THE PRODUCT.  BEFORE DRIVER COULD SHUT THE VALVE  GASOLINE OVERFLOWED INTO ADJACENT ALLEY AND DOWN THE STREET.,Yes,Yes,No,No,No,No,No,No,No
Paper,No,I-1972090079,AMERICAN OIL CO,,WASHINGTON,DC,08/28/1972,,0,,UN1203,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,PAK'S AMOCO INC,UNKNOWN,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Web,No,E-2012120224,AIR EXPRESS INTERNATIONAL USA  INC.,3130 V st NE,WASHINGTON,DC,12/17/2012,2015,0.264180,LGA,UN1170,ETHANOL SOLUTIONS,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,LIFE TECHNOLOGIES,FREDERICK,MARYLAND,Air,4454975,Glass  procelain  or stoneware,Jerrican,0,,,,Glass  procelain  or stoneware,Bottle,1,LLT,8,1,Inner Receptacle,Leaked,Improper Preparation for Transportation,Michael Middleton with the DHL Express DCA Service Center contacted our Hotline to report a leaking Dangerous Goods in Excepted Quantities shipment in their warehouse. Prior to his call  the shipment had been placed into a large plastic bin to contain the leak and the plastic bin had been moved to the haz area.  PSC Environmental was contacted and spill responders were dispatched to DCA Service Center.  Upon their arrival  the shipment was discovered to contain 8 x 1 liter glass bottles of UN1170  PG II.  Due to the lack of cushioning material in the shipment  1 glass bottle broke  leaking its entire contents. The area was cleaned and the shipment was bagged and placed into a salvage drum.  The shipment was marked and labeled as Dangerous Goods in Excepted Quantities.  The contents exceed what is allowed to ship as Dangerous Goods in Excepted Quantities.,No,No,No,No,No,No,No,No,No
Paper,No,I-1994120782,GRIFFITH ENERGY SERVICES  INC.,3212 RESERVIOR RD NW,WASHINGTON,DC,12/12/1994,1230,0,,NA1993,FUEL OIL,COMBUSTIBLE LIQUID,0,0,0,1,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,2400,LGA,1,1,,,,,,,,,,DRIVER OVER FILLED TANK CAUSING SMALL AMOUNT OF OIL TO FALL ONTO CONCRETE THAT SURROUNDED THE FILL. CLEANED OIL UP WITH ABSORBANT PAD AND REMOVED THE STAIN ON CONCRETE WITH AN EMULSIFIE.,No,No,No,No,No,No,No,No,No
Paper,No,I-1977080183,PRESTON TRUCKING COMPANY  INC.,,WASHINGTON,DC,07/25/1977,,0,,UN1133,CEMENT,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,RANDUSTRIAL INC,CLEVELAND,OHIO,Highway,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1999111004,GRIFFITH ENERGY SERVICES  INC.,666 11TH ST NW,WASHINGTON,DC,10/27/1999,1320,1,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,21,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,3800,LGA,1,1,,,,,,,,,,A SMALL OUTAGE OCCURRED WHICH WAS CONTAINED CLEANED UP AND PROPERLY DISPOSED OF.,No,No,No,No,No,No,No,No,No
Paper,No,I-2004120403,GRIFFITH ENERGY SERVICES  INC.,625 INDIANA AVE NW,WASHINGTON,DC,10/01/2004,1202,1,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,2,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,2700,LGA,1,1,,,,,,,,,,DRIVER WAS INSTRUCTED TO FILL TANK BY ONSITE ENGINEER.  OIL CAME OUT OF FILL PIPE ONTO BRICK SIDEWALK.  FIRE MARSHALL ISSUED TICKET TO ENGINEER. DRIVER USED SORBENT PADS AND OIL SPILL WAS PROPERLY CLEANED  CONTAINED AND DISPOSED.,No,No,No,No,No,No,No,No,No
Paper,No,I-1987080488,YELLOW FREIGHT SYSTEM INC,,WASHINGTON,DC,07/27/1987,,2,LGA,UN1789,HYDROCHLORIC ACID  SOLUTION,CORROSIVE MATERIAL,0,0,0,0,MALLINCKRODT CHEMICAL WORKS,PARIS,KENTUCKY,Highway,,,,4,LGA,1,1,,,1,LGA,4,2,Basic Material,,Dropped,,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110165,STEUART PETROLEUM,,WASHINGTON,DC,03/08/1983,,4,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Web,No,E-2008070517,GRIFFITH ENERGY SERVICES  INC.,2737 O STREET,WASHINGTON,DC,05/22/2008,1030,3.50,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,110015,GRIFFITH ENERGY SERVICES  INC.,HYATTSVILLE,MARYLAND,Highway,,Metal,IBC,275,LGA,1,1,,,,,,,Vent; Liquid Line,Leaked; Leaked,Overfilled; Deterioration or Aging,DRIVER MADE DELIVERY TO LOCATION AND PRE SET METER TO  THE AMOUNT ORDERED BY CUSTOMER OF 150 GALLONS. WHILE DELIVERY WAS BEING MADE A SMALL AMOUNT OF OIL CAME OUT OF VENT ONTO THE OUTSIDE OF THE PROPERTY. SHORTLY THEREAFTER CUSTOMER CALLED TO REPORT A  LEAKAGE OF OIL IN THERE PROPERTY AND WHEN SERVICE DEPT WENT TO INVESTIGATE THEY DISCOVERED THAT OIL HAD LEAKED OUT OF PIPES ONTO GROUND AROUND TANK AREA. PROFESSIONAL REMEDIATION COMPANY WAS CONTACTED TO HANDLE CLEANUP AND PER THE CUSTOMERS REQUEST TO DIG AROUND THE DOOR JAM THEY DISCOVERED A SECONDARY OIL LEAK COMING FROM A LINE UNDERNEATHE THE CONCRETE UN RELATED TO  PRIMARY OVERFILL AND LINE LEAKAGE. WE ARE CURRENTLY WORKING WITH HOME OWNERS CARRIER TO HANDLE THE MITIGATION OF THE SECONDARY LEAK. WE BELEIVE THAT THE PRIMARY LEAK HAS ALREADY BEEN PROPERLY CLEANED  CONTAINED AND DISPOSED OF. THE OIL THAT CAME OUT OF THE VENT TO THE OUTSIDE HAS BEEN PROPERLY MITIGATED AND DISPOSED OF.,Yes,No,Yes,No,No,No,No,No,No
Paper,No,I-1975010253,PIEDMONT AIRLINE,,WASHINGTON,DC,01/07/1975,,0,,UN2982,RADIOACTIVE MATERIAL  N.O.S.,RADIOACTIVE MATERIAL,0,0,0,0,NEW ENGLAND NUCLEAR CORPORATION,BOSTON,MASSACHUSETTS,Air,,,,,,,,,,,,1,,Basic Material,,Water Damage,,No,No,No,No,No,No,No,No,No
Paper,No,I-2000050991,GRIFFITH ENERGY SERVICES  INC.,5440 CALL PLACE,WASHINGTON,DC,04/28/2000,1200,0,,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,51,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,2800,LGA,1,1,,,,,,,,,,OVERFILL OCCURRED WHICH RESULTED IN OUTAGE WHICH WAS CONTAINED CLEANED UP AND PROPERLY DISPOSED OF.,No,No,No,No,No,No,No,No,No
Paper,No,I-1979040594,DAVIDSON TRANSFER & STORAGE CO,,WASHINGTON,DC,04/06/1979,,5,LGA,NA1760,COMPOUNDS  CLEANING LIQUID,CORROSIVE MATERIAL,0,0,0,0,CONSOLIDATED CHEMEX CORP,RIVERTON,NEW JERSEY,Highway,,,,55,LGA,20,1,,,,,,,Basic Material,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1996020091,GRIFFITH ENERGY SERVICES  INC.,1325 G ST NW,WASHINGTON,DC,01/12/1996,1225,3,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,1203,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,4500,LGA,1,1,,,,,,,,,,GRIFFITH DRIVER WAS STARTING TO FILL TANK AND IT WAS NOT VENTING.  HE STOPPED THE DELIVERY AND 3 GALLON OF OIL CAME OUT OF THE FILL PIPE WHEN HE UNHOOKED.,No,No,No,No,No,No,No,No,No
Paper,No,I-1973040326,O BOYLE TANK LINES,,WASHINGTON,DC,04/11/1973,,0,,UN1203,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,B P OIL CORP,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,8000,LGA,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1980030801,DU PONT E I DE NEMOURS & CO,,WASHINGTON,DC,02/22/1980,,5,LGA,UN2790,ACETIC ACID SOLUTION  NOT LESS THAN 50 PERCENT BUT NOT MORE THAN 80 PERCENT ACID  BY MASS,CORROSIVE MATERIAL,0,0,0,0,E I DU PONT DE NEMOURS AND COMPANY,CLIFTON,NEW JERSEY,Highway,,,,5,LGA,,,,,5,LGA,66,1,,,Loose Closure  Component  or Device,,No,No,No,No,No,No,No,No,No
Paper,Yes,I-1983010301,DELTA CHEMICAL CORP,BLUE PLAINS,WASHINGTON,DC,01/27/1982,,10,LGA,NA1760,ORM-B  N.O.S.,MISCELLANEOUS HAZARDOUS MATERIAL,0,0,0,0,DELTA CHEMICAL CORPORATION,BALTIMORE,MARYLAND,Highway,,,,4000,LGA,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1989040028,GRIFFITH CONSUMERS CO,,WASHINGTON,DC,03/16/1989,,2,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,GRIFFITH CONSUMERS CO,CHEVERLY,MARYLAND,Highway,,,,4400,LGA,1,1,,,,,,,Auxiliary Valve; Piping or Fittings,; ,Loose Closure  Component  or Device; ,,No,No,No,No,No,No,No,No,No
Paper,No,I-1984070423,STEUART PETROLEUM CO,,WASHINGTON,DC,07/03/1984,,95,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1989020527,GRIFFITH CONSUMERS CO,,WASHINGTON,DC,01/30/1989,,2,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,AMERADA HESS CORPORATION,BALTIMORE,MARYLAND,Highway,,,,4600,LGA,1,1,,,,,,,Auxiliary Valve; Piping or Fittings,; ,Loose Closure  Component  or Device; ,,No,No,No,No,No,No,No,No,No
Web,No,E-2006090097,GRIFFITH ENERGY SERVICES  INC.,4200 WISCONSIN AVE,WASHINGTON,DC,07/27/2006,1233,4,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,GRIFFITH ENERGY SERVICES  INC.,HYATTSVILLE,MARYLAND,Highway,,Metal,IBC,500,LGA,1,1,,,,,,,Fill Hole,Leaked,Overfilled,DRIVER MADE DELIVERY TO SITE AND OVERFILL OCCURRED RESULTING IN 3 GALLONS OF OIL TO SPILL ON GROUND. DRIVER USED SORBENT MATERIALS TO PROPERLY CLEAN  CONTAIN AND DISPOSE OF OIL SPILL.,No,No,No,No,No,No,No,No,No
Paper,No,I-1978040696,YELLOW FREIGHT SYSTEM INC,,WASHINGTON,DC,03/29/1978,,0,,NA1760,COMPOUNDS  CLEANING LIQUID,CORROSIVE MATERIAL,0,0,0,0,JAMES VARLEY & SONS LLC,UNKNOWN,MISSOURI,Highway,,,,,,129,5,,,,,129,5,,,Dropped,,No,No,No,No,No,No,No,No,No
Paper,No,I-2004051194,GRIFFITH ENERGY SERVICES  INC.,2030 M ST NW,WASHINGTON,DC,04/22/2004,1300,184,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,4184,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,3300,LGA,1,1,,,,,,,,,,WHILE MAKING A DELIVERY DRIVER WAS INSTRUCTED TO HOOK TO FILL THAT DID HAVE A TANK ATTACHED.  CUSTOMER ASSUMED FULL RESPONSIBILITY AND CONTACTED PROFESSIONAL REMEDIATION COMPANY WHO PROPERLY CLEANED  CONTAINED  AND DISPOSED OF OIL.,Yes,Yes,No,No,No,No,No,No,No
Paper,No,I-1984070232,GRACE W R & CO,,WASHINGTON,DC,07/05/1984,,2,LGA,NA1760,COMPOUNDS  CLEANING LIQUID,CORROSIVE MATERIAL,0,0,0,0,DU BOIS CHEMICAL CO,EAST RUTHERFORD,NEW JERSEY,Highway,,,,4,LGA,12,1,,,1,LGA,48,2,Basic Material,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-2001080079,GRIFFITH ENERGY SERVICES  INC.,2120 P ST NW,WASHINGTON,DC,06/19/2001,1315,10,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,40,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,2800,LGA,1,1,,,,,,,,,,WHILE FILLING TANK  OIL ESCAPED FROM VALVE ON TOP OF TANK. CLIENT TO PERFORM THE CLEAN UP.,No,No,No,No,No,No,No,No,No
Paper,No,I-1981010549,YELLOW FREIGHT SYSTEM INC,,WASHINGTON,DC,01/13/1981,,0,,UN1789,HYDROCHLORIC ACID SOLUTION  INHIBITED,CORROSIVE MATERIAL,0,0,0,0,SERVPRO INDUSTRIES INC,RANCHO CORDOVA,CALIFORNIA,Highway,,,,,,1,1,,,,,4,1,; ,; ,Loose Closure  Component  or Device; Defective Component or Device,,No,No,No,No,No,No,No,No,No
Paper,No,I-1992080012,GRIFFITH ENERGY SERVICES  INC.,3200 PARK PLACE,WASHINGTON,DC,07/16/1992,1100,4.90,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,1155,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,3800,LGA,1,1,,,,,,,,,,DRIVER WENT TO MAKE A DELIVERY  HE WAS AT THE WRONG HOUSE TO COMPOUND THE PROBLEM THE OWNER OF THE HOUSE HAD REMOVED HIS TANK BUT HAD NOT REMOVED HIS LINES TO OUTSIDE OF HOUSE.  DRIVER HOOKED UP AND WHEN HE KNEW SOMETHING WAS WRONG HE STOPPED THE DELIVERY.  4.9 GALLONS SPILLED ON HOUSE SPILL WAS CLEANED UP.,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110189,STEUART FETROLEUM,,WASHINGTON,DC,01/10/1983,,25,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-2004050599,KENAN TRANSPORT  LLC,2500 PENNSYLVANIA AVE,WASHINGTON,DC,05/03/2004,1120,3,LGA,UN1203,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,55,BP PRODUCTS NORTH AMERICA INC.,FAIRFAX,VIRGINIA,Highway,,,,9200,LGA,1,1,,,,,,,,,Loose Closure  Component  or Device,DRIVER WAS MAKING A DELIVERY TO 12 000 UST WHEN FAILED TO HOOK THE HOSE TIGHT TO FITTING ON TANK.  OPENED VALVE TO GRAVITY DROP PRODUCT. APPROXIMATELY 50 GALLONS OF PRODUCT WENT INTO CONTAINMENT WELL AROUND DROP AND WAS PUMPED OUT BY VAC TRUCK.  ONLY APPROXIMATELY 3 GALLONS SPILLED ON CONCRETE AROUND THE DROP.  THIS WAS CLEANED UP WITH SPILL KIT.,No,No,No,No,No,No,No,No,No
Web,No,E-2007090244,GRIFFITH ENERGY SERVICES  INC.,1440 NEW YORK AVE  NW,WASHINGTON,DC,06/20/2007,1300,5,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,GRIFFITH ENERGY SERVICES  INC.,HYATTSVILLE,MARYLAND,Highway,,Metal,IBC,280,LGA,1,1,,,,,,,Vent,Leaked,Defective Component or Device,DRIVER WAS MAKING DELIVERY TO GENERATOR AND VENT FAILED TO FUNCTION CAUSING OIL TO BE OVERFILLED INTO CONTAINMENT AREA. SERVICE DEPT WENT OUT AND USED SORBENT MATERIALS TO PROPERLY CLEAN  CONTAIN AND DISPOSE OF OIL SPILL.,No,No,No,No,No,No,No,No,No
Web,No,E-2014010287,R&L CARRIERS SHARED SERVICES  L.L.C.,4000 HAREWOOD ROAD NE,WASHINGTON,DC,10/04/2013,1500,0.007812,LGA,UN3266,CORROSIVE LIQUID  BASIC  INORGANIC  N.O.S.,CORROSIVE MATERIAL,0,0,0,0,ZEP INC.,BREINIGSVILLE,PENNSYLVANIA,Highway,,Paper  multi-wall,Box,,,,,,,,,,,,,,NAIL ON TRAILER FLOOR SNAGGED FRIGHT CAUSING A RELEASE. SPILL WAS CLEANED AND TAKEN ON FOR DELIVERY.,No,No,No,No,No,No,No,No,No
Paper,No,I-1978010555,PRESTON TRUCKING COMPANY  INC.,,WASHINGTON,DC,01/12/1978,,0,,UN1263,PAINT RELATED MATERIAL INCLUDING PAINT THINNING  DRYING  REMOVING  OR REDUCING COMPOUND,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,DAP PRODUCTS INC.,DAYTON,OHIO,Highway,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1990020422,GRIFFITH CONSUMERS COMPANY  INC,1475 EUCLID ST  NW,WASHINGTON,DC,02/13/1990,1600,2,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,17,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,4500,LGA,1,1,,,,,,,Auxiliary Valve; Piping or Fittings,Burst or Ruptured; ,Loose Closure  Component  or Device; ,INTERNAL PRESSURE OF UNDERGROUND TANK CAUSED A STICKLINE  CAP TO BLOW OFF OF OF PIPING DURING THE UNLOADING OF OUR TANK TRUCK. STICK LINE WAS INSIDE OF AN UNDERGROUND GARAGE AND WAS OUT OF SIGHT OF DRIVER. PROPERTY OWNER HAS BEEN NOTIFIED TO ASSURE HIMSELF THAT FILL LINE AND CAP ARE INSPECTED FOR PROPER SEALING TO OCCUR.,No,No,No,No,No,No,No,No,No
Paper,No,I-1990020084,GRIFFITH ENERGY SERVICES  INC.,C STREET NW,WASHINGTON,DC,01/10/1990,0530,10,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,29,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,7000,LGA,1,1,,,,,,,,,Overfilled,DRIVER AND BUILDING ENGINEER STUCK TANK.  37  IN A 120  DIAMETER TANK WOULD HAVE HELD THE ENTIRE LOAD THAT WAS ORDERED AND DELIVERED. DRIVER BEGAN DELIVERY PRIOR TO UNLOADING THE ENTIRE TRUCK ABOUT 10 GALLONS OVERFILLED THE TANK AT THE FILL PIPE. AFTER THE SPILL THE DRIVER RE-STUCK THE TANK AND MEASUREMENTS PROVED THAT TANK WAS ONLY 96  DIAMETER. DELIVERY TICKET WAS NOTED WITH THE CHANGE IN TANK SIZE TO PREVENT FUTURE OCCURRENCES,No,No,No,No,No,No,No,No,No
Paper,No,I-1984090312,GRACE W R & CO,,WASHINGTON,DC,09/14/1984,,0.50,LGA,UN1791,HYPOCHLORITE SOLUTIONS WITH MORE THAN 5 PERCENT BUT LESS THAN 16 PERCENT AVAILABLE CHLORINE,CORROSIVE MATERIAL,0,0,0,0,DU BOIS CHEMICAL CO,EAST RUTHERFORD,NEW JERSEY,Highway,,,,4,LGA,7,1,,,1,LGA,27,2,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110216,STEUART PETROLEUM CO,,WASHINGTON,DC,09/27/1982,,5,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
